_id,School Name,Enrolled population,DTP* coverage rate (%),DTP Religious exemption rate (%),MMR† coverage rate (%),MMR Religious exemption rate (%)
537,RIPPLETON PUBLIC SCHOOL ,122.0,95.9,1.6,95.9,1.6
538,RIVERCREST JUNIOR SCHOOL ,80.0,93.8,3.8,93.8,3.8
539,RIVERDALE COLLEGIATE INSTITUTE ,1206.0,89.6,3.2,95.9,3.2
540,ROBERT SERVICE SENIOR PUBLIC SCHOOL ,169.0,94.7,0.0,98.8,0.0
541,ROCKCLIFFE MIDDLE SCHOOL ,303.0,91.1,2.3,91.1,2.3
542,ROCKFORD PUBLIC SCHOOL ,336.0,78.6,1.5,80.7,1.5
543,RODEN PUBLIC SCHOOL ,233.0,86.3,2.6,89.3,2.6
544,ROLPH ROAD ELEMENTARY SCHOOL ,190.0,97.9,1.1,96.3,1.1
545,ROSE AVENUE JUNIOR PUBLIC SCHOOL ,303.0,87.8,0.0,88.4,0.0
546,ROSEDALE HEIGHTS SCHOOL OF THE ARTS ,1062.0,83.1,8.4,89.3,8.4
547,ROSEDALE JUNIOR PUBLIC SCHOOL ,119.0,98.3,0.0,99.2,0.0
548,ROSELANDS JUNIOR PUBLIC SCHOOL ,166.0,86.7,1.8,90.4,1.8
549,ROSETHORN JUNIOR SCHOOL ,183.0,94.0,5.5,94.0,5.5
550,ROUGE VALLEY PUBLIC SCHOOL ,146.0,97.3,0.0,98.6,0.0
551,ROYWOOD PUBLIC SCHOOL ,84.0,95.2,1.2,95.2,1.2
552,RUNNYMEDE COLLEGIATE INSTITUTE ,545.0,88.6,1.7,96.5,1.7
553,RUNNYMEDE JUNIOR AND SENIOR PUBLIC SCHOOL ,601.0,96.7,1.2,97.3,1.3
554,RYERSON COMMUNITY SCHOOL ,278.0,72.3,1.4,74.5,1.4
555,SACRED HEART CATHOLIC SCHOOL ,170.0,92.9,1.2,93.5,1.2
556,SAMUEL HEARNE PUBLIC SCHOOL ,376.0,86.4,0.5,90.2,0.5
557,SANTA MARIA CATHOLIC SCHOOL ,137.0,93.4,0.0,94.2,0.0
558,SATEC @ W A PORTER COLLEGIATE INSTITUTE ,1199.0,89.3,0.3,95.7,0.3
559,SCARBOROUGH VILLAGE PUBLIC SCHOOL ,121.0,90.1,0.0,93.4,0.0
560,SCHOOL OF EXPERIENTIAL EDUCATION ,72.0,76.4,1.4,97.2,1.4
561,SCHOOL OF LIFE EXPERIENCE ,120.0,85.8,0.8,95.0,0.8
562,SECOND STREET JUNIOR MIDDLE SCHOOL ,298.0,89.3,2.3,91.6,2.3
563,SECORD ELEMENTARY SCHOOL ,239.0,84.9,2.1,90.0,2.1
564,SEED ALTERNATIVE ,75.0,80.0,4.0,93.3,4.0
565,SELWYN ELEMENTARY SCHOOL ,128.0,95.3,3.1,96.1,3.1
566,SENATOR O'CONNOR COLLEGE SCHOOL ,1364.0,90.1,1.4,95.3,1.4
567,SENECA HILL PUBLIC SCHOOL ,150.0,99.3,0.0,98.7,0.0
568,SENECA SCHOOL ,53.0,88.7,3.8,90.6,3.8
569,SEVENTH STREET JUNIOR SCHOOL ,86.0,93.0,4.7,93.0,4.7
570,SHAUGHNESSY PUBLIC SCHOOL ,126.0,98.4,0.0,98.4,0.0
571,SHEPPARD PUBLIC SCHOOL ,67.0,98.5,1.5,95.5,1.5
572,SHIRLEY STREET JUNIOR PUBLIC SCHOOL ,83.0,91.6,8.4,91.6,8.4
573,SHOREHAM PUBLIC SCHOOL ,104.0,92.3,0.0,92.3,0.0
574,SILVER SPRINGS PUBLIC SCHOOL ,221.0,95.0,0.0,94.1,0.0
575,SILVERTHORN COLLEGIATE INSTITUTE ,879.0,83.8,3.0,93.9,3.0
576,SILVERTHORN COMMUNITY SCHOOL ,201.0,87.6,3.0,90.0,3.0
577,SIR ADAM BECK JUNIOR SCHOOL ,178.0,92.7,4.5,93.8,4.5
578,SIR ALEXANDER MACKENZIE SENIOR PUBLIC SCHOOL ,398.0,93.5,1.3,95.7,1.3
579,SIR ERNEST MACMILLAN SENIOR PUBLIC SCHOOL ,374.0,93.9,1.3,94.4,1.3
580,SIR JOHN A MACDONALD COLLEGIATE INSTITUTE ,1130.0,89.3,1.4,95.2,1.2
581,SIR OLIVER MOWAT COLLEGIATE INSTITUTE ,1074.0,89.3,2.2,96.9,2.2
582,SIR SAMUEL B STEELE JUNIOR PUBLIC SCHOOL ,192.0,94.3,1.0,95.8,1.0
583,SIR WILFRID LAURIER COLLEGIATE INSTITUTE ,1348.0,88.6,1.0,96.1,1.0
584,SIR WILLIAM OSLER HIGH SCHOOL ,141.0,87.2,0.7,93.6,0.7
585,SLOANE PUBLIC SCHOOL ,96.0,94.8,0.0,96.9,0.0
586,SMITHFIELD MIDDLE SCHOOL ,637.0,93.4,0.2,94.5,0.2
587,SOUTH EAST YEAR ROUND ALTERNATIVE CENTRE ,64.0,89.1,0.0,100.0,0.0
588,SPECTRUM ALTERNATIVE SENIOR SCHOOL ,60.0,91.7,8.3,91.7,8.3
589,SPRUCECOURT JUNIOR PUBLIC SCHOOL ,168.0,91.1,1.2,95.2,1.2
590,ST AGATHA CATHOLIC SCHOOL ,244.0,96.3,0.8,97.5,0.8
591,ST AGNES CATHOLIC SCHOOL ,207.0,84.1,2.4,82.6,2.4
592,ST AIDAN CATHOLIC SCHOOL ,184.0,90.2,0.5,93.5,0.5
593,ST ALBERT CATHOLIC SCHOOL ,281.0,94.3,1.1,94.0,1.1
594,ST ALPHONSUS CATHOLIC SCHOOL ,140.0,90.0,1.4,91.4,1.4
595,ST AMBROSE CATHOLIC SCHOOL ,219.0,90.9,4.6,92.7,4.6
596,ST ANDRE CATHOLIC SCHOOL ,365.0,91.0,0.0,89.6,0.0
597,ST ANDREW CATHOLIC SCHOOL ,459.0,85.8,0.2,89.8,0.2
598,ST ANDREWS MIDDLE SCHOOL ,392.0,92.6,2.3,94.4,2.3
599,ST ANDREWS PUBLIC SCHOOL ,191.0,93.7,0.0,94.2,0.0
600,ST ANGELA CATHOLIC SCHOOL ,322.0,83.2,0.6,86.3,0.6
601,ST ANSELM CATHOLIC SCHOOL ,233.0,94.8,3.0,96.1,3.0
602,ST ANTHONY CATHOLIC SCHOOL ,207.0,88.4,2.4,91.8,2.4
603,ST ANTOINE DANIEL CATHOLIC SCHOOL ,242.0,88.8,0.4,88.8,0.4
604,ST AUGUSTINE CATHOLIC SCHOOL ,342.0,89.8,0.3,89.5,0.3
605,ST BARBARA CATHOLIC SCHOOL ,207.0,90.3,1.4,90.3,1.4
606,ST BARNABAS CATHOLIC SCHOOL ,187.0,98.4,1.1,97.9,1.1
607,ST BARTHOLOMEW CATHOLIC SCHOOL ,52.0,94.2,5.8,94.2,5.8
608,ST BEDE CATHOLIC SCHOOL ,93.0,96.8,0.0,97.8,0.0
609,ST BENEDICT CATHOLIC SCHOOL ,385.0,91.7,0.8,92.5,0.5
610,ST BERNARD CATHOLIC SCHOOL ,404.0,92.8,1.2,92.8,1.2
611,ST BONAVENTURE CATHOLIC SCHOOL ,377.0,96.0,1.1,96.0,1.1
612,ST BONIFACE CATHOLIC SCHOOL ,209.0,92.3,0.0,91.9,0.0
613,ST BRENDAN CATHOLIC SCHOOL ,354.0,97.7,0.6,98.6,0.6
614,ST BRIGID CATHOLIC SCHOOL ,355.0,92.4,2.0,93.8,2.0
615,ST BRUNO / ST RAYMOND CATHOLIC SCHOOL ,149.0,85.9,6.0,87.2,5.4
616,ST CATHERINE CATHOLIC SCHOOL ,71.0,84.5,4.2,87.3,4.2
617,ST CECILIA CATHOLIC SCHOOL ,394.0,95.9,2.0,97.2,2.0
618,ST CHARLES CATHOLIC SCHOOL ,176.0,95.5,1.1,94.3,1.1
619,ST CHARLES GARNIER CATHOLIC SCHOOL ,270.0,90.4,0.7,90.7,0.7
620,ST CLARE CATHOLIC SCHOOL ,254.0,92.1,1.6,94.5,1.6
621,ST CLEMENT CATHOLIC SCHOOL ,283.0,96.1,2.1,96.5,2.1
622,ST CLEMENT'S SCHOOL ,328.0,37.2,1.5,81.1,1.5
623,ST COLUMBA CATHOLIC SCHOOL ,134.0,90.3,3.0,92.5,3.0
624,ST CONRAD CATHOLIC SCHOOL ,349.0,94.8,0.6,93.4,0.6
625,ST CYRIL CATHOLIC SCHOOL ,178.0,96.6,1.1,96.6,1.1
626,ST DEMETRIUS CATHOLIC SCHOOL ,166.0,86.1,6.6,90.4,6.6
627,ST DENIS CATHOLIC SCHOOL ,179.0,94.4,3.9,94.4,3.9
628,ST DOMINIC SAVIO CATHOLIC SCHOOL ,159.0,93.1,1.3,94.3,1.3
629,ST DOROTHY CATHOLIC SCHOOL ,200.0,95.5,1.0,95.0,1.0
630,ST DUNSTAN CATHOLIC SCHOOL ,142.0,90.8,0.7,90.8,0.7
631,ST EDMUND CAMPION CATHOLIC SCHOOL ,156.0,98.7,0.0,96.8,0.0
632,ST EDWARD CATHOLIC SCHOOL ,285.0,94.4,1.1,93.7,1.1
633,ST ELIZABETH CATHOLIC SCHOOL ,147.0,89.1,2.0,91.2,2.0
634,ST ELIZABETH SETON CATHOLIC SCHOOL ,103.0,92.2,1.9,95.1,1.9
635,ST EUGENE CATHOLIC SCHOOL ,218.0,94.5,2.8,95.9,2.8
636,ST FIDELIS CATHOLIC SCHOOL ,376.0,95.5,2.9,95.7,2.9
637,ST FLORENCE CATHOLIC SCHOOL ,108.0,94.4,0.9,93.5,0.9
638,ST FRANCIS DE SALES CATHOLIC SCHOOL ,280.0,90.4,0.0,89.6,0.0
639,ST FRANCIS OF ASSISI CATHOLIC SCHOOL ,117.0,92.3,3.4,96.6,3.4
640,ST FRANCIS XAVIER CATHOLIC SCHOOL ,326.0,89.6,0.6,91.1,0.6
641,ST GABRIEL CATHOLIC CATHOLIC SCHOOL ,186.0,86.6,1.6,86.6,1.6
642,ST GABRIEL LALEMANT CATHOLIC SCHOOL ,97.0,95.9,2.1,96.9,2.1
643,ST GEORGE'S JUNIOR SCHOOL ,81.0,95.1,2.5,95.1,2.5
644,ST GERALD CATHOLIC SCHOOL ,180.0,86.7,1.1,87.2,1.1
645,ST GREGORY CATHOLIC SCHOOL ,458.0,95.0,3.1,94.5,3.1
646,ST HELEN CATHOLIC SCHOOL ,258.0,95.3,0.8,97.3,0.8
647,ST HENRY CATHOLIC SCHOOL ,154.0,92.9,0.6,94.2,0.6
648,ST IGNATIUS OF LOYOLA CATHOLIC SCHOOL ,76.0,94.7,3.9,92.1,3.9
649,ST ISAAC JOGUES CATHOLIC SCHOOL ,201.0,92.5,0.0,92.5,0.0
650,ST JAMES CATHOLIC SCHOOL ,113.0,94.7,0.9,95.6,0.9
651,ST JANE FRANCES CATHOLIC SCHOOL ,436.0,92.0,0.5,93.3,0.5
652,ST JEAN DE BREBEUF CATHOLIC SCHOOL ,140.0,96.4,0.7,97.9,0.7
653,ST JEROME CATHOLIC SCHOOL ,317.0,88.6,0.3,91.5,0.3
654,ST JOACHIM CATHOLIC SCHOOL ,173.0,97.1,0.0,98.3,0.0
655,ST JOHN BOSCO CATHOLIC SCHOOL ,199.0,97.5,0.0,96.5,0.0
656,ST JOHN CATHOLIC SCHOOL ,284.0,95.1,0.7,96.5,0.7
657,ST JOHN THE EVANGELIST CATHOLIC SCHOOL ,259.0,92.7,0.0,93.1,0.0
658,ST JOHN VIANNEY CATHOLIC SCHOOL ,234.0,94.0,3.0,91.9,3.0
659,ST JOSAPHAT CATHOLIC SCHOOL ,90.0,83.3,7.8,82.2,7.8
660,ST JOSEPH CATHOLIC SCHOOL ,125.0,98.4,0.8,97.6,0.8
661,ST JOSEPH'S COLLEGE SCHOOL ,771.0,90.3,0.9,95.1,0.9
662,ST JOSEPHS MORROW PARK HIGH SCHOOL ,468.0,85.9,0.6,89.5,0.6
663,ST JUDE CATHOLIC SCHOOL ,475.0,92.0,0.0,94.1,0.0
664,ST KEVIN CATHOLIC SCHOOL ,150.0,98.0,0.7,98.0,0.7
665,ST LAWRENCE CATHOLIC SCHOOL ,288.0,94.1,0.7,93.8,0.7
666,ST LEO CATHOLIC SCHOOL ,168.0,93.5,1.8,94.0,1.8
667,ST LOUIS CATHOLIC SCHOOL ,118.0,96.6,1.7,96.6,1.7
668,ST LUIGI CATHOLIC SCHOOL ,79.0,93.7,0.0,92.4,0.0
669,ST MALACHY CATHOLIC SCHOOL ,184.0,94.0,1.1,95.1,1.1
670,ST MARCELLUS CATHOLIC SCHOOL ,242.0,86.8,1.7,88.0,1.7
671,ST MARGARET CATHOLIC SCHOOL ,416.0,91.8,0.5,88.5,0.5
672,ST MARGARET'S PUBLIC SCHOOL ,171.0,86.5,1.8,90.6,1.8
673,ST MARGUERITE BOURGEOYS CATHOLIC CATHOLIC SCHOOL ,58.0,96.6,0.0,98.3,0.0
674,ST MARIA GORETTI CATHOLIC SCHOOL ,637.0,93.9,0.2,93.9,0.2
675,ST MARK CATHOLIC SCHOOL ,120.0,90.8,6.7,89.2,6.7
676,ST MARTHA CATHOLIC SCHOOL ,135.0,91.9,2.2,93.3,2.2
677,ST MARTIN DE PORRES CATHOLIC SCHOOL ,257.0,89.1,0.0,91.4,0.0
678,ST MARY CATHOLIC SCHOOL ,187.0,92.5,1.6,93.6,1.6
679,ST MARY OF THE ANGELS CATHOLIC SCHOOL ,150.0,97.3,0.0,96.0,0.0
680,ST MARY'S CATHOLIC SECONDARY SCHOOL ,690.0,83.5,1.3,89.4,1.3
681,ST MATTHEW CATHOLIC SCHOOL ,338.0,97.0,0.3,97.3,0.3
682,ST MATTHIAS CATHOLIC SCHOOL ,169.0,88.2,2.4,88.2,2.4
683,ST MAURICE CATHOLIC SCHOOL ,170.0,94.1,0.0,95.3,0.0
684,ST MICHAEL CATHOLIC SCHOOL ,105.0,87.6,1.0,96.2,1.0
685,ST MICHAEL'S CHOIR (JR) SCHOOL ,167.0,93.4,3.0,94.6,3.0
686,ST MICHAEL'S CHOIR (SR) SCHOOL ,89.0,86.5,2.2,95.5,2.2
687,ST MONICA CATHOLIC SCHOOL ,195.0,90.3,1.0,93.8,1.0
688,ST NICHOLAS CATHOLIC SCHOOL ,232.0,95.3,1.3,95.3,1.3
689,ST NICHOLAS OF BARI CATHOLIC SCHOOL ,393.0,96.9,0.5,97.5,0.5
690,ST NORBERT CATHOLIC SCHOOL ,210.0,92.4,1.9,91.0,1.9
691,ST PASCHAL BAYLON CATHOLIC SCHOOL ,450.0,89.6,0.2,86.2,0.2
692,ST PATRICK CATHOLIC SECONDARY SCHOOL ,782.0,87.0,0.9,90.9,0.9
693,ST PAUL CATHOLIC SCHOOL ,104.0,89.4,0.0,90.4,0.0
694,ST PIUS X CATHOLIC SCHOOL ,315.0,95.2,1.3,95.2,1.3
695,ST RAPHAEL CATHOLIC SCHOOL ,301.0,94.0,1.0,94.0,1.0
696,ST RENE GOUPIL CATHOLIC SCHOOL ,118.0,50.8,0.0,51.7,0.0
697,ST RICHARD CATHOLIC SCHOOL ,260.0,95.0,0.8,98.1,0.8
698,ST RITA CATHOLIC SCHOOL ,51.0,96.1,0.0,100.0,0.0
699,ST ROBERT CATHOLIC SCHOOL ,381.0,94.5,0.5,92.1,0.5
700,ST ROCH CATHOLIC SCHOOL ,229.0,95.6,0.0,97.4,0.0
701,ST ROSE OF LIMA CATHOLIC SCHOOL ,274.0,93.4,0.0,92.3,0.0
702,ST SEBASTIAN CATHOLIC SCHOOL ,136.0,94.9,3.7,94.9,3.7
703,ST SIMON CATHOLIC SCHOOL ,319.0,94.0,0.6,95.0,0.6
704,ST STEPHEN CATHOLIC SCHOOL ,270.0,91.9,0.4,93.7,0.4
705,ST SYLVESTER CATHOLIC SCHOOL ,110.0,97.3,1.8,96.4,1.8
706,ST TERESA CATHOLIC SCHOOL ,170.0,88.8,0.6,91.8,0.6
707,ST THERESA SHRINE CATHOLIC SCHOOL ,123.0,96.7,0.0,95.9,0.0
708,ST THOMAS AQUINAS CATHOLIC SCHOOL ,331.0,92.1,0.0,94.3,0.0
709,ST THOMAS MORE CATHOLIC SCHOOL ,208.0,92.8,0.0,94.7,0.0
710,ST TIMOTHY CATHOLIC SCHOOL ,392.0,94.1,1.3,91.8,1.3
711,ST URSULA CATHOLIC SCHOOL ,158.0,95.6,0.6,94.3,0.6
712,ST VICTOR CATHOLIC SCHOOL ,203.0,95.1,0.5,95.1,0.5
713,ST VINCENT DE PAUL CATHOLIC SCHOOL ,208.0,94.2,3.4,92.3,3.4
714,ST WILFRID CATHOLIC SCHOOL ,411.0,84.9,0.5,85.9,0.5
715,ST. BASIL-THE-GREAT COLLEGE SCHOOL ,1304.0,89.3,0.7,95.4,0.7
716,ST. JOHN PAUL II CATHOLIC SECONDARY SCHOOL ,1311.0,90.5,0.6,97.6,0.6
717,ST. JOHN XXIII CATHOLIC SCHOOL ,264.0,86.0,0.4,84.5,0.4
718,ST. KATERI TEKAKWITHA CATHOLIC SCHOOL ,186.0,84.9,2.7,82.3,2.7
719,ST. MOTHER TERESA CATHOLIC ACADEMY ,414.0,87.7,2.2,92.0,2.2
720,STANLEY PUBLIC SCHOOL ,175.0,90.3,1.1,93.7,1.1
721,STEELESVIEW PUBLIC SCHOOL ,173.0,98.8,0.6,98.8,0.6
722,STELLA MARIS CATHOLIC SCHOOL ,224.0,96.0,0.4,96.4,0.4
723,STEPHEN LEACOCK COLLEGIATE INSTITUTE ,582.0,84.5,0.7,90.2,0.7
724,STILECROFT PUBLIC SCHOOL ,100.0,94.0,1.0,95.0,1.0
725,STS COSMAS AND DAMIAN CATHOLIC SCHOOL ,231.0,93.1,0.9,92.2,0.9
726,SUBWAY ACADEMY I ,44.0,79.5,9.1,90.9,9.1
727,SUBWAY ACADEMY II ,51.0,68.6,2.0,82.4,2.0
728,SUMMIT HEIGHTS PUBLIC SCHOOL ,239.0,96.7,2.5,96.7,2.5
729,SUNNY VIEW JUNIOR AND SENIOR PUBLIC SCHOOL ,57.0,89.5,3.5,87.7,3.5
730,SUNNYLEA JUNIOR SCHOOL ,133.0,93.2,3.8,93.2,3.8
731,SWANSEA JUNIOR AND SENIOR PUBLIC SCHOOL ,553.0,96.2,3.3,96.4,3.3
732,TAM O'SHANTER JUNIOR PUBLIC SCHOOL ,161.0,90.1,0.6,90.7,0.6
733,TAYLOR CREEK PUBLIC SCHOOL,235.0,92.3,0.0,93.2,0.0
734,TECUMSEH SENIOR PUBLIC SCHOOL ,263.0,89.4,0.4,93.5,0.4
735,TERRAVIEW-WILLOWFIELD PUBLIC SCHOOL ,178.0,93.8,3.9,93.3,3.9
736,TERRY FOX PUBLIC SCHOOL ,243.0,93.0,0.0,95.5,0.0
737,THE DIVINE INFANT CATHOLIC SCHOOL ,77.0,94.8,1.3,94.8,1.3
738,THE ELMS JUNIOR MIDDLE SCHOOL ,262.0,81.3,1.5,83.2,1.5
739,THE GROVE COMMUNITY SCHOOL ,58.0,75.9,24.1,75.9,24.1
740,THE HOLY TRINITY CATHOLIC SCHOOL ,210.0,91.0,2.4,95.2,2.4
741,THE STUDENT SCHOOL ,66.0,78.8,1.5,93.9,1.5
742,THE WATERFRONT SCHOOL ,121.0,81.8,4.1,86.8,4.1
743,THISTLETOWN COLLEGIATE INSTITUTE ,467.0,83.5,1.3,94.6,0.9
744,THOMAS L WELLS PUBLIC SCHOOL ,349.0,95.4,0.0,97.1,0.0
745,THORNCLIFFE PARK PUBLIC SCHOOL ,829.0,85.3,0.2,89.1,0.2
746,THREE VALLEYS PUBLIC SCHOOL ,138.0,96.4,2.2,96.4,2.2
747,TIMBERBANK JUNIOR PUBLIC SCHOOL ,118.0,95.8,0.0,95.8,0.0
748,TOM LONGBOAT JUNIOR PUBLIC SCHOOL ,148.0,94.6,1.4,96.6,1.4
749,TOPCLIFF PUBLIC SCHOOL ,160.0,95.0,0.0,96.9,0.0
750,TRANSFIGURATION OF OUR LORD CATHOLIC SCHOOL ,276.0,91.3,2.2,93.1,2.2
751,TREDWAY WOODSWORTH PUBLIC SCHOOL ,511.0,97.1,1.0,96.9,0.8
752,TUMPANE PUBLIC SCHOOL ,173.0,94.8,1.7,94.8,1.7
753,TWENTIETH STREET JUNIOR SCHOOL ,71.0,87.3,7.0,87.3,7.0
754,URSULA FRANKLIN ACADEMY ,525.0,87.8,4.2,95.0,4.2
755,VALLEY PARK MIDDLE SCHOOL ,983.0,77.5,0.4,81.0,0.4
756,VALLEYFIELD JUNIOR SCHOOL ,170.0,86.5,1.8,88.2,1.8
757,VENERABLE JOHN MERLINI CATHOLIC SCHOOL ,174.0,96.6,1.1,98.3,1.1
758,VICTORIA PARK COLLEGIATE INSTITUTE ,1215.0,89.0,0.8,96.0,0.8
759,VICTORIA PARK ELEMENTARY SCHOOL ,72.0,98.6,0.0,100.0,0.0
760,VICTORIA VILLAGE PUBLIC SCHOOL ,105.0,92.4,2.9,92.4,2.9
761,VRADENBURG JUNIOR PUBLIC SCHOOL ,121.0,96.7,0.0,98.3,0.0
762,WALTER PERRY JUNIOR PUBLIC SCHOOL ,154.0,83.1,1.9,92.9,1.9
763,WARREN PARK JUNIOR PUBLIC SCHOOL ,87.0,85.1,6.9,86.2,6.9
764,WEDGEWOOD JUNIOR SCHOOL ,181.0,93.4,1.1,94.5,1.1
765,WELLESWORTH JUNIOR SCHOOL ,73.0,83.6,2.7,86.3,2.7
766,WEST END ALTERNATIVE SCHOOL ,73.0,76.7,5.5,90.4,5.5
767,WEST GLEN JUNIOR SCHOOL ,77.0,90.9,5.2,90.9,3.9
768,WEST HILL COLLEGIATE INSTITUTE ,651.0,86.5,1.5,94.8,1.5
769,WEST HILL PUBLIC SCHOOL ,136.0,85.3,2.9,85.3,2.9
770,WEST HUMBER COLLEGIATE INSTITUTE ,1060.0,86.6,0.9,93.6,0.9
771,WEST HUMBER JUNIOR MIDDLE SCHOOL ,308.0,96.8,0.3,95.1,0.3
772,WEST PREPARATORY JUNIOR PUBLIC SCHOOL ,273.0,86.1,3.7,90.8,3.7
773,WEST ROUGE JUNIOR PUBLIC SCHOOL ,160.0,87.5,5.0,89.4,5.0
774,WESTERN TECHNICAL & COMMERCIAL SCHOOL ,1068.0,82.5,3.7,92.6,3.7
775,WESTMOUNT JUNIOR SCHOOL ,99.0,89.9,2.0,91.9,2.0
776,WESTON COLLEGIATE INSTITUTE ,928.0,86.0,1.3,94.0,1.2
777,WESTON MEMORIAL JUNIOR PUBLIC SCHOOL ,128.0,88.3,1.6,90.6,1.6
778,WESTVIEW CENTENNIAL SECONDARY SCHOOL ,821.0,79.4,0.5,90.7,0.5
779,WESTWAY JUNIOR SCHOOL ,90.0,87.8,2.2,90.0,2.2
780,WESTWOOD MIDDLE SCHOOL ,373.0,90.9,2.9,94.6,2.9
781,WEXFORD COLLEGIATE SCHOOL FOR THE ARTS ,1121.0,85.8,2.2,95.2,2.1
782,WEXFORD PUBLIC SCHOOL ,230.0,85.7,1.3,86.1,1.3
783,WHITE HAVEN JUNIOR PUBLIC SCHOOL ,306.0,90.8,1.0,93.1,1.0
784,WHITNEY JUNIOR PUBLIC SCHOOL ,127.0,96.9,2.4,96.1,2.4
785,WILKINSON JUNIOR PUBLIC SCHOOL ,272.0,94.1,1.8,95.2,1.8
786,WILLIAM BURGESS ELEMENTARY SCHOOL ,143.0,93.0,3.5,91.6,3.5
787,WILLIAM G DAVIS JUNIOR PUBLIC SCHOOL ,125.0,98.4,0.0,98.4,0.0
788,WILLIAM G MILLER JUNIOR PUBLIC SCHOOL ,325.0,90.5,3.4,93.8,3.4
789,WILLIAM J MCCORDIC SCHOOL ,52.0,46.2,3.8,88.5,3.8
790,WILLIAM LYON MACKENZIE COLLEGIATE INSTITUTE ,1407.0,87.9,2.6,93.5,2.6
791,WILLIAMSON ROAD JUNIOR PUBLIC SCHOOL ,288.0,96.2,2.1,96.5,2.1
792,WILLOW PARK JUNIOR PUBLIC SCHOOL ,186.0,88.2,0.0,90.9,0.0
793,WILLOWDALE MIDDLE SCHOOL ,544.0,90.1,2.0,91.7,2.0
794,WILMINGTON ELEMENTARY SCHOOL ,51.0,86.3,0.0,84.3,0.0
795,WINCHESTER JUNIOR AND SENIOR PUBLIC SCHOOL ,297.0,90.9,2.7,92.6,2.7
796,WINDFIELDS MIDDLE SCHOOL ,665.0,92.0,2.6,92.9,2.4
797,WINONA DRIVE SENIOR PUBLIC SCHOOL ,414.0,92.5,5.1,94.0,5.1
798,WINSTON CHURCHILL COLLEGIATE INSTITUTE ,561.0,89.3,1.6,95.5,1.6
799,WITHROW AVENUE JUNIOR PUBLIC SCHOOL ,299.0,92.0,2.7,94.0,2.7
800,WOBURN COLLEGIATE INSTITUTE ,900.0,90.9,0.2,97.9,0.2
801,WOBURN JUNIOR PUBLIC SCHOOL ,185.0,90.3,0.0,89.2,0.0
802,WOODBINE JUNIOR HIGH SCHOOL ,358.0,89.7,1.1,88.5,1.1
803,YORK HUMBER HIGH SCHOOL ,154.0,89.0,3.2,94.8,3.2
804,YORK MEMORIAL COLLEGIATE INSTITUTE ,887.0,89.5,2.4,96.2,2.4
805,YORK MILLS COLLEGIATE INSTITUTE ,1233.0,89.5,1.4,96.4,1.3
806,YORKVIEW PUBLIC SCHOOL ,175.0,93.1,2.3,93.1,2.3
807,YORKWOODS PUBLIC SCHOOL ,180.0,87.8,1.1,90.0,1.1
808,ZION HEIGHTS JUNIOR HIGH SCHOOL ,596.0,94.0,0.8,95.3,0.8
809,"Source: Panorama, data as of April 3, 2019.",,,,,
810,"*DTP: (diphtheria, tetanus, and polio) vaccine.",,,,,
811,"†MMR: (measles, mumps, and rubella) vaccine.",,,,,
